,x1,y1,x2,y2,Class,image,Type,MPG,Median MPG
0,39,116,569,375,14,00001.jpg,Coupe,26,1
1,36,116,868,587,3,00002.jpg,Sedan,21.3,1
2,85,109,601,381,91,00003.jpg,Pickup Truck,15.5,0
3,621,393,1484,1096,134,00004.jpg,Sedan,36,1
4,14,36,133,99,106,00005.jpg,Pickup Truck,17.1,0
5,259,289,515,416,123,00006.jpg,Convertible,33.5,1
6,88,80,541,397,89,00007.jpg,SUV,20.3,1
7,73,79,591,410,96,00008.jpg,Sedan,19.8,1
8,20,126,1269,771,167,00009.jpg,Sedan,24.2,1
9,21,110,623,367,58,00010.jpg,SUV,19,1
10,51,93,601,393,49,00011.jpg,Sedan,24,1
11,6,62,499,286,186,00012.jpg,SUV,15,0
12,30,36,418,307,135,00013.jpg,Sedan,27.5,1
13,31,246,778,540,85,00014.jpg,Van,18.3,0
14,32,77,589,379,193,00015.jpg,Hatchback,24,1
15,27,49,611,396,172,00016.jpg,Coupe,26,1
16,39,52,233,150,14,00017.jpg,Coupe,26,1
17,3,8,190,147,73,00018.jpg,Sedan,21.2,1
18,247,287,1366,761,192,00019.jpg,Hatchback,24.8,1
19,17,281,961,596,57,00020.jpg,Coupe,18.3,0
20,17,156,695,375,79,00021.jpg,Sedan,18.8,1
21,212,538,1893,1131,36,00022.jpg,Convertible,13,0
22,11,28,476,234,120,00023.jpg,SUV,21,1
23,53,126,973,621,170,00024.jpg,Hatchback,27.7,1
24,34,87,567,343,194,00025.jpg,Sedan,20.5,1
25,30,174,598,379,134,00026.jpg,Sedan,36,1
26,80,107,606,336,184,00027.jpg,Sedan,26.3,1
27,45,115,585,382,86,00028.jpg,Pickup Truck,15.4,0
28,28,139,1564,1126,180,00029.jpg,Coupe,15,0
29,82,109,874,521,194,00030.jpg,Sedan,20.5,1
30,55,318,446,564,154,00031.jpg,SUV,16,0
31,12,31,471,350,139,00032.jpg,Hatchback,26,1
32,34,197,1011,656,66,00033.jpg,Sedan,28.7,1
33,37,63,614,397,133,00034.jpg,SUV,18.5,0
