index,Class,Year,Type,MPG,Median MPG
1,AM General Hummer SUV 2000,2000,SUV,10,0
2,Acura RL Sedan 2012,2012,Sedan,20,1
3,Acura TL Sedan 2012,2012,Sedan,21.3,1
4,Acura TL Type-S 2008,2008,Sedan,20.7,1
5,Acura TSX Sedan 2012,2012,Sedan,23.7,1
6,Acura Integra Type R 2001,2001,Coupe,23.7,1
7,Acura ZDX Hatchback 2012,2012,Hatchback,19,1
8,Aston Martin V8 Vantage Convertible 2012,2012,Convertible,15.8,0
9,Aston Martin V8 Vantage Coupe 2012,2012,Coupe,15.8,0
10,Aston Martin Virage Convertible 2012,2012,Convertible,15,0
11,Aston Martin Virage Coupe 2012,2012,Coupe,15,0
12,Audi RS 4 Convertible 2008,2008,Convertible,14.5,0
13,Audi A5 Coupe 2012,2012,Coupe,24.5,1
14,Audi TTS Coupe 2012,2012,Coupe,26,1
15,Audi R8 Coupe 2012,2012,Coupe,14.8,0
16,Audi V8 Sedan 1994,1994,Sedan,15,0
17,Audi 100 Sedan 1994,1994,Sedan,18.3,0
18,Audi 100 Wagon 1994,1994,Station Wagon,18,0
19,Audi TT Hatchback 2011,2011,Hatchback,26,1
20,Audi S6 Sedan 2011,2011,Sedan,16,0
21,Audi S5 Convertible 2012,2012,Convertible,18.7,1
22,Audi S5 Coupe 2012,2012,Coupe,18,0
23,Audi S4 Sedan 2012,2012,Sedan,21,1
24,Audi S4 Sedan 2007,2007,Sedan,15.5,0
25,Audi TT RS Coupe 2012,2012,Coupe,20,1
26,BMW ActiveHybrid 5 Sedan 2012,2012,Sedan,26,1
27,BMW 1 Series Convertible 2012,2012,Convertible,21.3,1
28,BMW 1 Series Coupe 2012,2012,Coupe,21.5,1
29,BMW 3 Series Sedan 2012,2012,Sedan,25.5,1
30,BMW 3 Series Wagon 2012,2012,Station Wagon,20.3,1
31,BMW 6 Series Convertible 2007,2007,Convertible,16.3,0
32,BMW X5 SUV 2007,2007,SUV,17,0
33,BMW X6 SUV 2012,2012,SUV,16.3,0
34,BMW M3 Coupe 2012,2012,Coupe,16,0
35,BMW M5 Sedan 2010,2010,Sedan,13,0
36,BMW M6 Convertible 2010,2010,Convertible,13,0
37,BMW X3 SUV 2012,2012,SUV,21,1
38,BMW Z4 Convertible 2012,2012,Convertible,22.4,1
39,Bentley Continental Supersports Conv. Convertible 2012,2012,Convertible,14,0
40,Bentley Arnage Sedan 2009,2009,Sedan,11,0
41,Bentley Mulsanne Sedan 2011,2011,Sedan,13,0
42,Bentley Continental GT Coupe 2012,2012,Coupe,14,0
43,Bentley Continental GT Coupe 2007,2007,Coupe,13,0
44,Bentley Continental Flying Spur Sedan 2007,2007,Sedan,13,0
45,Bugatti Veyron 16.4 Convertible 2009,2009,Convertible,10,0
46,Bugatti Veyron 16.4 Coupe 2009,2009,Coupe,10,0
47,Buick Regal GS 2012,2012,Sedan,23.3,1
48,Buick Rainier SUV 2007,2007,SUV,16.3,0
49,Buick Verano Sedan 2012,2012,Sedan,24,1
50,Buick Enclave SUV 2012,2012,SUV,18.5,0
51,Cadillac CTS-V Sedan 2012,2012,Sedan,19,1
52,Cadillac SRX SUV 2012,2012,SUV,18.5,0
53,Cadillac Escalade EXT Crew Cab 2007,2007,Pickup Truck,14,0
54,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,2012,Pickup Truck,21,1
55,Chevrolet Corvette Convertible 2012,2012,Convertible,18,0
56,Chevrolet Corvette ZR1 2012,2012,Coupe,18,0
57,Chevrolet Corvette Ron Fellows Edition Z06 2007,2007,Coupe,18.3,0
58,Chevrolet Traverse SUV 2012,2012,SUV,19,1
59,Chevrolet Camaro Convertible 2012,2012,Convertible,18.7,1
60,Chevrolet HHR SS 2010,2010,Station Wagon,24.9,1
61,Chevrolet Impala Sedan 2007,2007,Sedan,21,1
62,Chevrolet Tahoe Hybrid SUV 2012,2012,SUV,21,1
63,Chevrolet Sonic Sedan 2012,2012,Sedan,29.8,1
64,Chevrolet Express Cargo Van 2007,2007,Van,14.8,0
65,Chevrolet Avalanche Crew Cab 2012,2012,Pickup Truck,17,0
66,Chevrolet Cobalt SS 2010,2010,Sedan,28.7,1
67,Chevrolet Malibu Hybrid Sedan 2010,2010,Sedan,29,1
68,Chevrolet TrailBlazer SS 2009,2009,SUV,15.3,0
69,Chevrolet Silverado 2500HD Regular Cab 2012,2012,Pickup Truck,16,0
70,Chevrolet Silverado 1500 Classic Extended Cab 2007,2007,Pickup Truck,15.7,0
71,Chevrolet Express Van 2007,2007,Van,14.8,0
72,Chevrolet Monte Carlo Coupe 2007,2007,Coupe,21,1
73,Chevrolet Malibu Sedan 2007,2007,Sedan,21.2,1
74,Chevrolet Silverado 1500 Extended Cab 2012,2012,Pickup Truck,16,0
75,Chevrolet Silverado 1500 Regular Cab 2012,2012,Pickup Truck,16,0
76,Chrysler Aspen SUV 2009,2009,SUV,16.4,0
77,Chrysler Sebring Convertible 2010,2010,Convertible,21.3,1
78,Chrysler Town and Country Minivan 2012,2012,Van,20,1
79,Chrysler 300 SRT-8 2010,2010,Sedan,18.8,1
80,Chrysler Crossfire Convertible 2008,2008,Convertible,19.5,1
81,Chrysler PT Cruiser Convertible 2008,2008,Convertible,21.8,1
82,Daewoo Nubira Wagon 2002,2002,Station Wagon,22.5,1
83,Dodge Caliber Wagon 2012,2012,Station Wagon,25,1
84,Dodge Caliber Wagon 2007,2007,Station Wagon,24,1
85,Dodge Caravan Minivan 1997,1997,Van,18.3,0
86,Dodge Ram Pickup 3500 Crew Cab 2010,2010,Pickup Truck,15.4,0
87,Dodge Ram Pickup 3500 Quad Cab 2009,2009,Pickup Truck,15.4,0
88,Dodge Sprinter Cargo Van 2009,2009,Van,18.6,0
89,Dodge Journey SUV 2012,2012,SUV,20.3,1
90,Dodge Dakota Crew Cab 2010,2010,Pickup Truck,15.5,0
91,Dodge Dakota Club Cab 2007,2007,Pickup Truck,15.5,0
92,Dodge Magnum Wagon 2008,2008,Station Wagon,18.6,0
93,Dodge Challenger SRT8 2011,2011,Coupe,16.5,0
94,Dodge Durango SUV 2012,2012,SUV,17.3,0
95,Dodge Durango SUV 2007,2007,SUV,14.8,0
96,Dodge Charger Sedan 2012,2012,Sedan,19.8,1
97,Dodge Charger SRT-8 2009,2009,Sedan,18.7,1
98,Eagle Talon Hatchback 1998,1998,Hatchback,21.4,1
99,FIAT 500 Abarth 2012,2012,Hatchback,30,1
100,FIAT 500 Convertible 2012,2012,Convertible,29,1
101,Ferrari FF Coupe 2012,2012,Coupe,13,0
102,Ferrari California Convertible 2012,2012,Convertible,15,0
103,Ferrari 458 Italia Convertible 2012,2012,Convertible,14,0
104,Ferrari 458 Italia Coupe 2012,2012,Coupe,14,0
105,Fisker Karma Sedan 2012,2012,Sedan,24.7,1
106,Ford F-450 Super Duty Crew Cab 2012,2012,Pickup Truck,17.1,0
107,Ford Mustang Convertible 2007,2007,Convertible,18.2,0
108,Ford Freestar Minivan 2007,2007,Van,17.5,0
109,Ford Expedition EL SUV 2009,2009,SUV,16,0
110,Ford Edge SUV 2012,2012,SUV,25.2,1
111,Ford Ranger SuperCab 2011,2011,Pickup Truck,18.7,1
112,Ford GT Coupe 2006,2006,Coupe,14,0
113,Ford F-150 Regular Cab 2012,2012,Pickup Truck,17.1,0
114,Ford F-150 Regular Cab 2007,2007,Pickup Truck,15,0
115,Ford Focus Sedan 2007,2007,Sedan,25.3,1
116,Ford E-Series Wagon Van 2012,2012,Van,13.5,0
117,Ford Fiesta Sedan 2012,2012,Sedan,32,1
118,GMC Terrain SUV 2012,2012,SUV,22,1
119,GMC Savana Van 2012,2012,Van,13.2,0
120,GMC Yukon Hybrid SUV 2012,2012,SUV,21,1
121,GMC Acadia SUV 2012,2012,SUV,19,1
122,GMC Canyon Extended Cab 2012,2012,Pickup Truck,18.6,0
123,Geo Metro Convertible 1993,1993,Convertible,33.5,1
124,HUMMER H3T Crew Cab 2010,2010,Pickup Truck,15,0
125,HUMMER H2 SUT Crew Cab 2009,2009,Pickup Truck,15.3,0
126,Honda Odyssey Minivan 2012,2012,Van,21.5,1
127,Honda Odyssey Minivan 2007,2007,Van,18.5,0
128,Honda Accord Coupe 2012,2012,Coupe,24,1
129,Honda Accord Sedan 2012,2012,Sedan,25.3,1
130,Hyundai Veloster Hatchback 2012,2012,Hatchback,30.5,1
131,Hyundai Santa Fe SUV 2012,2012,SUV,22,1
132,Hyundai Tucson SUV 2012,2012,SUV,23.2,1
133,Hyundai Veracruz SUV 2012,2012,SUV,18.5,0
134,Hyundai Sonata Hybrid Sedan 2012,2012,Sedan,36,1
135,Hyundai Elantra Sedan 2007,2007,Sedan,27.5,1
136,Hyundai Accent Sedan 2012,2012,Sedan,31.5,1
137,Hyundai Genesis Sedan 2012,2012,Sedan,20,1
138,Hyundai Sonata Sedan 2012,2012,Sedan,26.7,1
139,Hyundai Elantra Touring Hatchback 2012,2012,Hatchback,26,1
140,Hyundai Azera Sedan 2012,2012,Sedan,23,1
141,Infiniti G Coupe IPL 2012,2012,Coupe,20.3,1
142,Infiniti QX56 SUV 2011,2011,SUV,16,0
143,Isuzu Ascender SUV 2008,2008,SUV,16,0
144,Jaguar XK XKR 2012,2012,Coupe,17.8,0
145,Jeep Patriot SUV 2012,2012,SUV,23.6,1
146,Jeep Wrangler SUV 2012,2012,SUV,18,0
147,Jeep Liberty SUV 2012,2012,SUV,17.5,0
148,Jeep Grand Cherokee SUV 2012,2012,SUV,20.6,1
149,Jeep Compass SUV 2012,2012,SUV,23.6,1
150,Lamborghini Reventon Coupe 2008,2008,Coupe,11,0
151,Lamborghini Aventador Coupe 2012,2012,Coupe,13,0
152,Lamborghini Gallardo LP 570-4 Superleggera 2012,2012,Coupe,15.3,0
153,Lamborghini Diablo Coupe 2001,2001,Coupe,11,0
154,Land Rover Range Rover SUV 2012,2012,SUV,16,0
155,Land Rover LR2 SUV 2012,2012,SUV,18,0
156,Lincoln Town Car Sedan 2011,2011,Sedan,19,1
157,MINI Cooper Roadster Convertible 2012,2012,Convertible,29.5,1
158,Maybach Landaulet Convertible 2012,2012,Convertible,12,0
159,Mazda Tribute SUV 2011,2011,SUV,24.6,1
160,McLaren MP4-12C Coupe 2012,2012,Coupe,18,0
161,Mercedes-Benz 300-Class Convertible 1993,1993,Convertible,18.4,0
162,Mercedes-Benz C-Class Sedan 2012,2012,Sedan,20.8,1
163,Mercedes-Benz SL-Class Coupe 2009,2009,Coupe,15,0
164,Mercedes-Benz E-Class Sedan 2012,2012,Sedan,21,1
165,Mercedes-Benz S-Class Sedan 2012,2012,Sedan,17.5,0
166,Mercedes-Benz Sprinter Van 2012,2012,Van,18.3,0
167,Mitsubishi Lancer Sedan 2012,2012,Sedan,24.2,1
168,Nissan Leaf Hatchback 2012,2012,Hatchback,99,1
169,Nissan NV Passenger Van 2012,2012,Van,14,0
170,Nissan Juke Hatchback 2012,2012,Hatchback,27.7,1
171,Nissan 240SX Coupe 1998,1998,Coupe,20.5,1
172,Plymouth Neon Coupe 1999,1999,Coupe,26,1
173,Porsche Panamera Sedan 2012,2012,Sedan,20.1,1
174,Ram C/V Cargo Van Minivan 2012,2012,Van,20,1
175,Rolls-Royce Phantom Drophead Coupe Convertible 2012,2012,Convertible,14,0
176,Rolls-Royce Ghost Sedan 2012,2012,Sedan,15,0
177,Rolls-Royce Phantom Sedan 2012,2012,Sedan,14,0
178,Scion xD Hatchback 2012,2012,Hatchback,29,1
179,Spyker C8 Convertible 2009,2009,Convertible,15,0
180,Spyker C8 Coupe 2009,2009,Coupe,15,0
181,Suzuki Aerio Sedan 2007,2007,Sedan,23.7,1
182,Suzuki Kizashi Sedan 2012,2012,Sedan,24.8,1
183,Suzuki SX4 Hatchback 2012,2012,Hatchback,25,1
184,Suzuki SX4 Sedan 2012,2012,Sedan,26.3,1
185,Tesla Model S Sedan 2012,2012,Sedan,89,1
186,Toyota Sequoia SUV 2012,2012,SUV,15,0
187,Toyota Camry Sedan 2012,2012,Sedan,32.8,1
188,Toyota Corolla Sedan 2012,2012,Sedan,29,1
189,Toyota 4Runner SUV 2012,2012,SUV,19,1
190,Volkswagen Golf Hatchback 2012,2012,Hatchback,27.6,1
191,Volkswagen Golf Hatchback 1991,1991,Hatchback,24,1
192,Volkswagen Beetle Hatchback 2012,2012,Hatchback,24.8,1
193,Volvo C30 Hatchback 2012,2012,Hatchback,24,1
194,Volvo 240 Sedan 1993,1993,Sedan,20.5,1
195,Volvo XC90 SUV 2007,2007,SUV,16.8,0
196,smart fortwo Convertible 2012,2012,Convertible,36,1
